id,name,capacity,has_whiteboard,has_projector
ROOM_001,Placement Block Hall 01,8,True,True
ROOM_002,Placement Block Hall 02,4,True,False
ROOM_003,Placement Block Hall 03,4,True,True
ROOM_004,Placement Block Hall 04,6,True,True
ROOM_005,Placement Block Hall 05,6,True,False
ROOM_006,Placement Block Hall 06,4,True,True
ROOM_007,Placement Block Hall 07,6,True,True
ROOM_008,Placement Block Hall 08,6,True,True
ROOM_009,Placement Block Hall 09,8,True,True
ROOM_010,Placement Block Hall 10,8,True,True
ROOM_011,Placement Block Hall 11,6,True,False
ROOM_012,Placement Block Hall 12,8,True,True
ROOM_013,Placement Block Hall 13,6,True,True
ROOM_014,Placement Block Hall 14,8,True,False
ROOM_015,Placement Block Hall 15,4,True,True
ROOM_016,Placement Block Hall 16,4,True,False
ROOM_017,Placement Block Hall 17,4,True,True
ROOM_018,Placement Block Hall 18,6,True,False
ROOM_019,Placement Block Hall 19,8,True,False
ROOM_020,Placement Block Hall 20,6,True,True
